Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2024-03-25,417.9065878752963,420.03917871353855,414.33918361091673,415.567626953125,18060500,0.0,0.0,MSFT
2024-03-26,418.270209700842,418.6436612820826,414.0836951106592,414.3785095214844,16725600,0.0,0.0,MSFT
2024-03-27,417.12045509904823,417.13029224439015,411.7841036640323,414.162353515625,16705000,0.0,0.0,MSFT
2024-03-28,413.70045116356334,414.59476162825587,411.89218593509474,413.464599609375,21871200,0.0,0.0,MSFT
2024-04-01,416.6388963047316,420.5109524938084,414.9387197575333,417.2481994628906,16316000,0.0,0.0,MSFT
2024-04-02,412.8650995128624,415.0959720756304,410.6342569413904,414.17218017578125,17912000,0.0,0.0,MSFT
2024-04-03,412.49166464341647,415.96078773337547,411.8626872035861,413.1992492675781,16502300,0.0,0.0,MSFT
2024-04-04,417.66098731056826,421.27754806630895,410.368962888124,410.6736145019531,19370900,0.0,0.0,MSFT
2024-04-05,412.76683489834704,419.1547408159618,411.10597696046364,418.1817932128906,16554800,0.0,0.0,MSFT
2024-04-08,417.8378979159273,419.91149627913853,416.00012113110665,417.26788330078125,14272400,0.0,0.0,MSFT
2024-04-09,419.08598583198443,420.3635551563133,414.3491001983128,418.9287414550781,12496900,0.0,0.0,MSFT
2024-04-10,414.90926057255786,416.71752584552905,412.46221066374153,415.9608154296875,16216600,0.0,0.0,MSFT
2024-04-11,418.4766034449177,421.9653705491401,415.07625067131136,420.5502014160156,17966400,0.0,0.0,MSFT
2024-04-12,416.7371231732088,417.8476407951663,412.53093421008157,414.62420654296875,19253800,0.0,0.0,MSFT
2024-04-15,419.2432078029309,419.4594150607099,406.30031376342345,406.5067138671875,20273500,0.0,0.0,MSFT
2024-04-16,407.4206432860486,411.18458077665684,406.59513289625886,407.4304504394531,16765600,0.0,0.0,MSFT
2024-04-17,410.054408065017,411.6563030616971,403.2537321874578,404.7377014160156,15855500,0.0,0.0,MSFT
2024-04-18,403.54861503604855,404.78689570186344,396.98382006074763,397.29827880859375,21029900,0.0,0.0,MSFT
2024-04-19,397.0623898394721,398.4873961854359,390.9103356715456,392.237060546875,30565800,0.0,0.0,MSFT
2024-04-22,393.18052011404563,395.9027700554988,388.9252051027742,394.04534912109375,20286900,0.0,0.0,MSFT
