Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2021-08-11,2926.0961488608095,2934.8307642305435,2906.0939649630977,2921.030029296875,1929707,0.0,0.0,TCS.NS
2021-08-12,2905.132878638491,2941.8182607499816,2905.132878638491,2927.62451171875,1310205,0.0,0.0,TCS.NS
2021-08-13,2935.4857463855783,3039.646030624656,2932.646996500656,3025.146484375,4363584,0.0,0.0,TCS.NS
2021-08-16,3022.176753470583,3052.180240931902,3001.6504084686876,3033.488037109375,2083489,0.0,0.0,TCS.NS
2021-08-17,3041.480581719962,3110.2219638050665,3024.7973806340597,3103.45263671875,4336019,0.0,0.0,TCS.NS
2021-08-18,3121.6209887910522,3140.0946173045786,3089.08454247823,3110.00390625,2631309,0.0,0.0,TCS.NS
2021-08-20,3062.3567132190265,3122.6255703816373,3057.1159430309735,3109.0869140625,2836148,0.0,0.0,TCS.NS
2021-08-23,3126.9918187987078,3208.223729175322,3111.1820821253696,3177.12841796875,3744176,0.0,0.0,TCS.NS
2021-08-24,3194.249116348361,3203.2895293351253,3139.5703341165326,3155.991455078125,2511141,0.0,0.0,TCS.NS
2021-08-25,3153.1957514059936,3229.8419916236876,3150.61908284588,3195.995361328125,2123263,0.0,0.0,TCS.NS
2021-08-26,3196.8693657363897,3220.9769905146954,3186.3003953758202,3207.219970703125,1902533,0.0,0.0,TCS.NS
2021-08-27,3202.110341078273,3257.5751546785104,3189.0958480679137,3249.408203125,3944728,0.0,0.0,TCS.NS
2021-08-30,3244.9090051300996,3267.0513362648753,3220.9762487761504,3232.942626953125,2033114,0.0,0.0,TCS.NS
2021-08-31,3240.0183451794023,3322.7353285681993,3234.8212913547077,3307.318603515625,3207480,0.0,0.0,TCS.NS
2021-09-01,3315.660068603454,3333.74068017422,3237.921990071919,3244.865966796875,2643336,0.0,0.0,TCS.NS
2021-09-02,3261.505486236113,3370.819115881548,3251.0239474479945,3351.253662109375,3403717,0.0,0.0,TCS.NS
2021-09-03,3340.99000815719,3368.853342795532,3323.1277643578337,3355.882568359375,1746812,0.0,0.0,TCS.NS
2021-09-06,3362.56521433957,3386.9349219098394,3331.3826766127986,3364.57421875,1723693,0.0,0.0,TCS.NS
2021-09-07,3375.0550854815306,3380.2521385252685,3326.3596090282194,3333.04150390625,1585039,0.0,0.0,TCS.NS
2021-09-08,3327.8886342498226,3332.2559421687856,3280.7217087250224,3296.574951171875,4147175,0.0,0.0,TCS.NS
2021-09-09,3310.157003802656,3326.752772302166,3288.5825474027815,3311.641845703125,1441148,0.0,0.0,TCS.NS
2021-09-13,3290.329823827149,3364.9233586382898,3290.329823827149,3358.765625,1691473,0.0,0.0,TCS.NS
2021-09-14,3362.783182604123,3403.4428595697864,3340.990360029368,3394.18408203125,1991188,0.0,0.0,TCS.NS
2021-09-15,3390.864973783777,3476.3767693180266,3376.8021583375607,3454.147216796875,2461369,0.0,0.0,TCS.NS
2021-09-16,3432.7037036782212,3477.9053364174956,3399.5995980435055,3409.38232421875,2946666,0.0,0.0,TCS.NS
2021-09-17,3423.9693794337527,3445.8059188434067,3323.521298149344,3343.47998046875,6477148,0.0,0.0,TCS.NS
2021-09-20,3327.01474032147,3381.1693514792364,3326.010344929612,3339.679931640625,2002008,0.0,0.0,TCS.NS
2021-09-21,3369.8148354860814,3381.650282754764,3338.064421190229,3374.138427734375,1568129,0.0,0.0,TCS.NS
2021-09-22,3373.7454941304222,3403.748985959733,3364.9671622340657,3373.439697265625,1744067,0.0,0.0,TCS.NS
2021-09-23,3380.295721069975,3388.1568739096724,3349.7245711378177,3379.640625,2003869,0.0,0.0,TCS.NS
2021-09-24,3397.7650831549404,3445.281301332481,3367.1939320211554,3381.431396484375,2320754,0.0,0.0,TCS.NS
2021-09-27,3406.5000155572484,3409.9938617270504,3321.686814486319,3351.42822265625,1673362,0.0,0.0,TCS.NS
2021-09-28,3362.8269749249935,3362.8269749249935,3276.5726466720475,3300.942138671875,2253075,0.0,0.0,TCS.NS
2021-09-29,3284.0403846948934,3324.3942608183484,3251.1544333308298,3312.078369140625,2489161,0.0,0.0,TCS.NS
2021-09-30,3323.5210059352767,3323.5210059352767,3275.568054906828,3297.797607421875,2252412,0.0,0.0,TCS.NS
2021-10-01,3303.213265514092,3327.8885546661445,3253.6443218192617,3258.186279296875,1578374,0.0,0.0,TCS.NS
2021-10-04,3253.4696342242864,3304.8727186534416,3238.3149909855993,3295.83251953125,1356860,0.0,0.0,TCS.NS
2021-10-05,3278.9746901462354,3354.092384166634,3268.143852121344,3348.240234375,1877966,0.0,0.0,TCS.NS
2021-10-06,3350.5985309151906,3369.3342386536387,3314.786607096754,3328.674560546875,1678154,0.0,0.0,TCS.NS
2021-10-07,3345.35721394832,3405.6260514842033,3336.666315532846,3400.2978515625,1647233,0.0,0.0,TCS.NS
2021-10-08,3428.3366356662377,3485.0242058206936,3406.500096585561,3437.638916015625,2934339,0.0,0.0,TCS.NS
2021-10-11,3279.8483755997695,3282.032029644776,3196.8695218895223,3219.230224609375,11845402,0.0,0.0,TCS.NS
2021-10-12,3237.0484182874648,3237.921879814256,3171.1895044664,3190.6240234375,5752877,0.0,0.0,TCS.NS
2021-10-13,3188.1345564053886,3210.364109498508,3183.7672487938744,3192.676513671875,3545655,0.0,0.0,TCS.NS
2021-10-14,3172.373537087952,3211.7547258242166,3157.671183895089,3160.515380859375,6442299,7.0,0.0,TCS.NS
2021-10-18,3153.514585721593,3196.6151131193105,3151.76431049732,3191.758056640625,3590107,0.0,0.0,TCS.NS
2021-10-19,3210.879486705096,3229.344973413171,3172.5484214832622,3180.380859375,3135441,0.0,0.0,TCS.NS
2021-10-20,3160.9965878425232,3176.749062532768,3131.5044974037755,3158.239990234375,2933693,0.0,0.0,TCS.NS
2021-10-21,3154.0830236717397,3157.014605986085,3072.826424568322,3091.423095703125,4871211,0.0,0.0,TCS.NS
2021-10-22,3115.489176480275,3116.8894817975106,3049.8538707959997,3061.974609375,2691670,0.0,0.0,TCS.NS
2021-10-25,3065.6066981460913,3075.7145791199464,3019.22441010677,3056.8115234375,2595594,0.0,0.0,TCS.NS
