Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2026-06-01 11:01:00+05:30,2316.5,2316.800048828125,2313.5,2315.0,22990,0.0,0.0,TCS.NS
2026-06-01 11:02:00+05:30,2315.5,2316.0,2314.800048828125,2315.5,8534,0.0,0.0,TCS.NS
2026-06-01 11:03:00+05:30,2315.5,2316.0,2315.5,2315.89990234375,1629,0.0,0.0,TCS.NS
2026-06-01 11:04:00+05:30,2315.89990234375,2318.0,2315.800048828125,2316.60009765625,15752,0.0,0.0,TCS.NS
2026-06-01 11:05:00+05:30,2316.60009765625,2316.60009765625,2314.89990234375,2315.699951171875,5075,0.0,0.0,TCS.NS
2026-06-01 11:06:00+05:30,2315.800048828125,2317.5,2315.60009765625,2317.0,6746,0.0,0.0,TCS.NS
2026-06-01 11:07:00+05:30,2317.39990234375,2317.39990234375,2315.5,2316.60009765625,7265,0.0,0.0,TCS.NS
2026-06-01 11:08:00+05:30,2316.10009765625,2316.10009765625,2314.5,2315.800048828125,4202,0.0,0.0,TCS.NS
2026-06-01 11:09:00+05:30,2315.800048828125,2317.0,2315.39990234375,2317.0,2205,0.0,0.0,TCS.NS
2026-06-01 11:10:00+05:30,2316.89990234375,2318.5,2316.89990234375,2318.5,4890,0.0,0.0,TCS.NS
2026-06-01 11:11:00+05:30,2318.800048828125,2319.699951171875,2318.800048828125,2319.699951171875,6088,0.0,0.0,TCS.NS
2026-06-01 11:12:00+05:30,2319.60009765625,2320.300048828125,2319.5,2319.89990234375,25406,0.0,0.0,TCS.NS
2026-06-01 11:13:00+05:30,2320.10009765625,2322.0,2320.0,2321.5,11703,0.0,0.0,TCS.NS
2026-06-01 11:14:00+05:30,2321.699951171875,2322.800048828125,2321.39990234375,2321.39990234375,5495,0.0,0.0,TCS.NS
2026-06-01 11:15:00+05:30,2321.10009765625,2322.10009765625,2318.800048828125,2318.89990234375,5245,0.0,0.0,TCS.NS
2026-06-01 11:16:00+05:30,2319.199951171875,2321.5,2318.39990234375,2318.39990234375,10119,0.0,0.0,TCS.NS
2026-06-01 11:17:00+05:30,2319.199951171875,2320.0,2317.39990234375,2319.800048828125,7786,0.0,0.0,TCS.NS
2026-06-01 11:18:00+05:30,2319.800048828125,2320.0,2319.39990234375,2320.0,1727,0.0,0.0,TCS.NS
2026-06-01 11:19:00+05:30,2320.0,2320.5,2320.0,2320.5,3818,0.0,0.0,TCS.NS
